treat,trans,plot,microsite,species,density,t1,t2,t3,t4
G,1,1,dig,vit,20,,1,,
G,1,2,dig,vit,60,12,8,7,6
G,1,3,dig,chry,20,,,,
G,1,4,dig,chry,20,3,5,4,
G,1,5,litt,chry,20,,,,
G,1,6,dig,chry,20,,,,
G,1,7,litt,vit,60,,1,,
G,1,8,crust,lept,60,1,10,8,
G,1,9,litt,vit,20,,1,,
G,1,10,crust,chry,60,,2,,
G,1,11,crust,chry,60,,,,
G,1,12,litt,chry,60,,,,
GC,1,12,crust,none,0,,,,
G,1,13,dig,vit,20,1,1,1,1
G,1,14,crust,vit,20,1,1,,1
G,1,15,crust,vit,60,2,4,1,1
G,1,16,crust,chry,20,,,,
GC,1,16,dig,none,0,,,,
G,1,17,dig,chry,60,,,,
G,1,18,dig,chry,60,,2,1,
GC,1,18,litt,none,0,,,,
G,1,19,crust,vit,60,1,2,1,2
G,1,20,litt,vit,20,,,,
GC,1,20,litt,none,0,,,,
G,1,21,dig,vit,20,5,3,3,
G,1,22,crust,lept,60,2,19,2,
G,1,23,crust,lept,60,18,24,17,8
GC,1,23,dig,none,0,,,,
G,1,24,crust,vit,20,,1,,
G,1,25,crust,vit,60,1,1,,
GC,1,25,dig,none,0,,,,
G,1,26,dig,lept,20,1,1,,
G,1,27,litt,lept,60,,,,
G,1,28,litt,chry,20,,,,
G,1,29,dig,lept,60,2,4,1,1
G,1,30,dig,vit,20,,1,1,1
G,1,31,litt,chry,60,,,,
GC,1,31,crust,none,0,,,,
G,1,32,dig,chry,60,1,1,1,
G,1,33,crust,chry,60,,,,
G,1,34,litt,lept,20,,,,
G,1,35,crust,lept,20,,,,
G,1,36,crust,chry,20,,,,
G,1,37,litt,vit,60,,,,
G,1,38,litt,lept,60,,,,
G,1,39,crust,lept,20,,,,
G,1,40,dig,lept,60,2,2,,
GC,1,40,dig,none,0,,,,
G,1,41,litt,lept,20,,,,
G,1,42,dig,vit,60,8,9,4,2
G,1,43,litt,vit,20,,1,,
GC,1,43,dig,none,0,,,,
G,1,44,crust,chry,60,1,,,
GC,1,44,litt,none,0,,1,,
G,1,45,crust,chry,20,,3,,
G,2,46,crust,lept,60,,,,
G,2,47,dig,lept,20,1,1,,
G,2,48,crust,vit,20,1,1,1,
G,2,49,litt,vit,60,,,,
G,2,50,dig,lept,60,5,9,2,
G,2,51,crust,vit,60,2,3,1,
