community,site,paddock,year,position,Acacia.oswaldii,Aira.spp.,Arctotheca.calendula,Arthropodium.fimbriatum,Arthropodium.minus,Arthropodium.spp.,Asperula.conferta,Atriplex.semibaccata,Austrostipa.aristiglumis,Austrostipa.bigeniculata,Austrostipa.blackii,Austrostipa.gibbosa,Austrostipa.oligostachya,Austrostipa.scabra,Austrostipa.spp.,Avena.barbata,Bellardia.latifolia,Brachypodium.distachyon,Bromus.diandrus,Bromus.hordeaceus,Bromus.rubens,Bulbine.bulbosa,Calocephalus.sonderi,Calotis.scabiosifolia,Carthamus.lanatus,Cheilanthes.spp.,Chenopodium.desertorum.subsp..virosum,Chloris.truncata,Chrysocephalum.apiculatum,Convolvulus.spp.,Crassula.spp.,Cressa.australis,Daucus.glochidiatus,Echium.plantagineum,Enteropogon.acicularis,Eriochiton.sclerolaenoides,Eriochlamys.squamata,Erodium.botrys,Euphorbia.dallachyana,Goodenia.pinnatifida,Goodenia.pusilliflora,Hordeum.leporinum,Hordeum.marinum,Hyalosperma.glutinosum.subsp..glutinosum,Hypochaeris.glabra,Hypochaeris.radicata,Isoetopsis.graminifolia,Juncus.radula,Juncus.sp.,Leontodon.rhagadioloides,Leptorhynchos.orientalis,Leptorhynchos.squamatus,Leptorhynchos.tetrachaetus,Levenhookia.dubia,Linum.marginale,Lolium.rigidum,Lomandra.effusa,Maireana.decalvans,Maireana.enchylaenoides,Maireana.excavata,Maireana.humillima,Maireana.pentagona,Medicago.minima,Medicago.polymorpha,Medicago.truncatula,Moraea.setifolia,Oxalis.perennans,Parapholis.incurva,Pauridia.glabella.var..glabella,Pentamiris.aireoides,Plantago.coronopus,Plantago.gaudichaudii,Pogonolepis.muelleriana,Ptilotus.macrocephalus,Ptilotus.semilanatus,Ptilotus.spathulatus,Rhodanthe.corymbiflora,Rhodanthe.pygmaea,Romulea.minutiflora,Romulea.rosea,Rostraria.cristata,Rytidosperma.caespitosum,Rytidosperma.duttonianum,Rytidosperma.setaceum,Salsola.tragus,Sclerolaena.diacantha,Scorzonera.laciniata.var..calcitrapifolia,Sida.corrugata,Sonchus.oleraceus,Sporobolus.caroli,Swainsona.murrayana,Swainsona.plagiotropis,Swainsona.procumbens,Teucrium.racemosum,Trifolium.angustifolium.var..angustifolium,Trifolium.arvense.var..arvense,Trifolium.glomeratum,Trifolium.subterraneum,Triptilodiscus.pygmaeus,Vittadinia.cuneata.s.l.,Vulpia.bromoides,Vulpia.muralis,Vulpia.myuros,Wahlenbergia.gracilenta,Walwhalleya.proluta,Wurmbea.latifolia.subsp..vanessae,Alternanthera.denticulata,Avena.fatua,Bromus.madritensis,Cotula.bipinnata,Eleocharis.acuta,Eucalyptus.melliodora,Goodenia.gracilis,Microseris.walteri,Plantago.drummondii,Polypogon.monspeliensis,Rumex.brownii,Rumex.spp.,Rytidosperma.erianthum,Sida.trichopoda,Solanum.esuriale,Spergularia.rubra,Trifolium.cernuum,Trifolium.dubium,Trifolium.spp.
red,d37472,creek,1997,e,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0.5,0,0,2,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0,2,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,1,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
red,d37473,creek,1997,e,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0.5,0,0,1,0,0,0,0.5,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0.5,0.5,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0.5,0.5,0,2,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
grey,d37468,creek,1997,e,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0
grey,d37469,creek,1997,e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,1,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0
grey,d37470,creek,1997,e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,1,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,1,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,1,0,1,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
grey,d37471,creek,1997,e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,1,0,2,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
grey,d37474,creek,1997,e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,1,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0.5,2,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
grey,d37475,creek,1997,e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,1,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,1,2,0,0,0,0,0.5,0,0,0.5,0,0.5,0,0,0,0.5,0,1,0,0.5,0,0,1,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
grey,d37478,creek,1997,e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.5,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,2,0,1,0,0,0,0.5,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
grey,d37481,creek,1997,e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.5,0,0,1,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0,1,0,0,0.5,0,1,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
